"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr"
"1",2020,1,NA,0,1822,NA,NA
"2",2020,2,NA,0,1891,NA,NA
"3",2020,3,NA,0,1831,NA,NA
"4",2020,4,NA,0,1730,NA,NA
"5",2020,5,NA,0,1848,NA,NA
"6",2020,6,NA,0,1728,NA,NA
"7",2020,7,NA,0,1825,NA,NA
"8",2020,8,NA,0,1777,NA,NA
"9",2020,9,1778.00945478371,0,1778,1777.05268023078,1778.92586114111
"10",2020,10,1825.98575006495,0,1826,1825.06415950089,1826.93329034579
"11",2020,11,1724.69858392775,5,1730,1723.52734424384,1725.87308473125
"12",2020,12,1817.96813352913,44,1865,1811.4611501801,1824.45812842597
"13",2020,13,1836.97906285604,190,2040,1808.83596503679,1864.86895125057
"14",2020,14,1901.06232887562,451,2383,1834.20174354824,1967.65535891264
"15",2020,15,1859.46729750391,664,2569,1760.78910898697,1957.16248281617
"16",2020,16,1822.91879802458,657,2525,1725.74240287843,1919.64229044835
"17",2020,17,1685.55526214775,546,2269,1604.17246135992,1765.88522182973
"18",2020,18,1658.75663464307,543,2239,1578.49037495823,1738.28907114608
"19",2020,19,1637.02514976176,510,2182,1561.07159095127,1712.56044810677
"20",2020,20,1582.96689398929,380,1989,1526.53066902711,1639.63548978885
"21",2020,21,1533.32344800022,360,1918,1479.50565429963,1586.10569120658
"22",2020,22,1365.37737777448,272,1656,1324.33345796201,1405.67027277918
"23",2020,23,1489.19998770287,245,1751,1453.33104668033,1525.00574341916
"24",2020,24,1470.93891851888,234,1721,1436.34477063965,1505.89023366675
"25",2020,25,1456.31746562479,200,1670,1426.99986660943,1485.50353106932
"26",2020,26,1526.53067195931,138,1674,1505.9482532139,1547.0622067547
"27",2020,27,1460.28717448481,98,1565,1445.6003884191,1474.42989054846
"28",2020,28,1481.22143581678,84,1571,1469.02088101023,1493.54775906226
"29",2020,29,1452.08546676331,57,1513,1443.93130137223,1460.52811165964
"30",2020,30,1507.91716510388,30,1540,1503.61866215132,1512.45170822942
"31",2020,31,1527.78345209358,18,1547,1524.98321368913,1530.68546808647
"32",2020,32,1551.77474157807,18,1571,1548.86898781251,1554.66380181318
"33",2020,33,1499.94117745498,16,1517,1497.46950280213,1502.48553359426
"34",2020,34,1557.6918525607,19,1578,1554.83009212653,1560.58913334197
"35",2020,35,1475.3062005344,10,1486,1473.5158272302,1477.04454444853
"36",2020,36,1504.17877386438,12,1517,1502.18994022508,1506.19950950153
"37",2020,37,1513.13956020163,13,1527,1510.98207529334,1515.26755209312
"38",2020,38,1500.15006927399,12,1513,1498.23234219111,1502.0807033086
"39",2020,39,1551.22232815801,11,1563,1549.4341177988,1553.01239496417
"40",2020,40,1528.81051718628,17,1547,1526.2352645801,1531.47680299416
"41",2020,41,1519.49686950821,22,1543,1516.03471509803,1522.93635969699
"42",2020,42,1594.92559193057,16,1612,1592.49106014588,1597.45144876206
"43",2020,43,1524.05368094317,43,1570,1517.71306436648,1530.43696659038
"44",2020,44,1603.37984464522,82,1691,1591.43780983154,1615.69130404004
"45",2020,45,1505.28515081906,157,1673,1481.7682790922,1528.75777934934
"46",2020,46,1616.91898989617,235,1868,1582.27982577165,1652.31275265125
"47",2020,47,1634.28627980743,332,1989,1584.85122709923,1683.73676128099
"48",2020,48,1513.51116698157,417,1959,1450.98637775075,1576.07415171065
"49",2020,49,1639.45292407525,476,2148,1568.07891635416,1709.95040580642
"50",2020,50,1583.89353671381,499,2117,1509.62493540861,1658.00057671466
"51",2020,51,1610.98290814812,644,2299,1515.1853506494,1706.34447535386
"52",2020,52,1631.205714328,641,2316,1535.56899766008,1726.52527524618
